,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
207,SEVN,Seven Hills Realty Trust,186.17M,0.56%,2275,34.51M
208,SDHC,Smith Douglas Homes Corp.,184.08M,-0.64%,2759,755.35M
209,CIO,"City Office REIT, Inc.",180.69M,0.78%,33279,179.10M
210,STRS,Stratus Properties Inc.,179.67M,-1.93%,3018,26.30M
211,MITT,"AG Mortgage Investment Trust, Inc.",178.68M,-0.53%,49995,68.44M
212,BHR,Braemar Hotels & Resorts Inc.,173.95M,0.49%,30367,733.43M
213,SACH,Sachem Capital Corp.,173.26M,0.79%,57686,64.59M
214,DOUG,Douglas Elliman Inc.,172.09M,-1.86%,74371,955.58M
215,STHO,Star Holdings,162.37M,-1.89%,21812,123.05M
216,MDV,Modiv Inc.,135.02M,0.34%,6276,46.94M
217,AXR,AMREP Corporation,121.24M,-2.00%,1723,44.53M
218,LFT,"Lument Finance Trust, Inc.",118.56M,1.32%,20244,28.01M
219,EARN,Ellington Residential Mortgage REIT,115.14M,1.20%,59436,-634.00K
220,OPI,Office Properties Income Trust,110.19M,-1.11%,381960,533.55M
221,AJX,Great Ajax Corp.,109.29M,0.13%,41508,-17.07M
222,CHMI,Cherry Hill Mortgage Investment Corporation,100.07M,2.44%,61737,-21.20M
223,MAYS,"J.W. Mays, Inc.",88.69M,-,3,22.13M
224,ACR,ACRES Commercial Realty Corp.,86.47M,-1.57%,4798,91.13M
225,CMCT,Creative Media & Community Trust Corporation,83.59M,1.62%,80,115.66M
226,ASPS,Altisource Portfolio Solutions S.A.,74.66M,-0.71%,6991,145.07M
227,DOMA,Doma Holdings Inc.,74.04M,-0.89%,1718,335.84M
228,LRE,"Lead Real Estate Co., Ltd",73.39M,0.75%,25098,118.73M
229,AIRE,reAlpha Tech Corp.,70.18M,-5.92%,1019886,439.12K
230,AHT,"Ashford Hospitality Trust, Inc.",62.04M,-3.64%,112982,1.37B
231,SOHO,Sotherly Hotels Inc.,57.05M,-0.98%,223,173.03M
232,FTHM,Fathom Holdings Inc.,55.48M,1.12%,6538,354.59M
233,LOAN,"Manhattan Bridge Capital, Inc.",53.47M,0.64%,3200,10.73M
234,WETH,Wetouch Technology Inc.,48.52M,-2.57%,137863,39.88M
235,SELF,"Global Self Storage, Inc.",47.22M,-0.12%,3533,12.27M
236,CHCI,"Comstock Holding Companies, Inc.",45.46M,-2.52%,3186,43.01M
237,LODE,Comstock Inc.,43.90M,-3.43%,147451,1.27M
238,RFL,"Rafael Holdings, Inc.",42.40M,-,2790,277.00K
239,LRHC,La Rosa Holding Corp.,24.83M,3.33%,13289,26.32M
240,OMH,Ohmyhome Limited,21.87M,-0.52%,141114,4.37M
241,GIPR,"Generation Income Properties, Inc.",19.67M,0.83%,18870,5.91M
242,LEJU,Leju Holdings Limited,18.75M,-3.69%,18946,332.27M
243,MDJH,MDJM Ltd,16.93M,1.72%,318,29.45K
244,XIN,"Xinyuan Real Estate Co., Ltd.",16.22M,-,47,754.13M
245,NYC,American Strategic Investment Co,15.99M,-0.75%,289,63.53M
246,SQFT,"Presidio Property Trust, Inc.",14.74M,-0.97%,8778,17.63M
247,IHT,InnSuites Hospitality Trust,14.69M,-13.57%,975,7.39M
248,SGD,Safe and Green Development Corporation,13.62M,5.24%,14736614,-
249,WHLR,"Wheeler Real Estate Investment Trust, Inc.",13.60M,3.90%,141031,102.33M
250,AEI,Alset EHome International Inc.,13.30M,-0.74%,1917,21.95M
251,GYRO,"Gyrodyne, LLC",12.99M,-,1232,-
252,MDRR,"Medalist Diversified REIT, Inc.",12.30M,0.91%,246,10.27M
253,TPHS,Trinity Place Holdings Inc.,9.75M,2.22%,33722,42.33M
254,GBR,"New Concept Energy, Inc.",5.35M,1.59%,8683,172.00K
255,GGE,Green Giant Inc.,4.96M,4.05%,2073656,1.80M
256,ALBT,Avalon GloboCare Corp.,4.23M,-1.64%,22478,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",4.03M,7.18%,4428,1.99M
258,DUO,Fangdd Network Group Ltd.,2.30M,48.74%,60434715,35.17M
259,PW,Power REIT,2.10M,-1.61%,5255,4.00M
260,UK,Ucommune International Ltd,1.89M,4.80%,236151,87.50M
