,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
187,CMCL,Caledonia Mining Corporation Plc,211.33M,-1.91%,10480,141.83M
188,USAP,"Universal Stainless & Alloy Products, Inc.",200.03M,-1.91%,20075,262.36M
189,CTGO,"Contango Ore, Inc.",198.24M,-0.10%,4344,-
190,ODV,Osisko Development Corp.,196.09M,6.93%,80219,32.55M
191,EMX,EMX Royalty Corporation,195.19M,0.58%,86039,12.48M
192,GEVO,"Gevo, Inc.",190.00M,-1.59%,1584429,17.20M
193,DC,Dakota Gold Corp.,186.49M,-,54209,-
194,NEWP,New Pacific Metals Corp.,184.90M,-1.85%,196222,-
195,TSE,Trinseo PLC,175.61M,0.60%,41043,3.68B
196,SMID,Smith-Midland Corporation,173.13M,-0.67%,1946,57.68M
197,AMLI,American Lithium Corp.,171.72M,-1.13%,73248,-
198,DNMR,"Danimer Scientific, Inc.",170.40M,0.60%,387953,51.06M
199,CMT,"Core Molding Technologies, Inc.",167.57M,0.46%,7607,370.40M
200,ALTO,"Alto Ingredients, Inc.",165.22M,3.46%,234226,1.28B
201,ATLX,Atlas Lithium Corporation,163.96M,2.17%,8688,620.00
202,GLDG,GoldMining Inc.,158.50M,0.52%,225489,-
203,NWGL,Nature Wood Group Limited,151.60M,0.46%,743,55.34M
204,NAK,Northern Dynasty Minerals Ltd.,150.08M,1.28%,359293,-
205,LOOP,"Loop Industries, Inc.",134.98M,0.74%,9826,119.49K
206,NTIC,Northern Technologies International Corporation,133.59M,1.20%,118,80.13M
207,AREC,American Resources Corporation,129.14M,-0.61%,50785,21.36M
208,THM,International Tower Hill Mines Ltd.,127.05M,2.03%,18710,-
209,FRD,"Friedman Industries, Incorporated",126.97M,-2.20%,2232,508.21M
210,PLG,Platinum Group Metals Ltd.,115.01M,4.46%,151594,-
211,LGO,Largo Inc.,109.53M,0.58%,8144,202.02M
212,TRX,TRX Gold Corporation,108.82M,0.59%,104343,38.01M
213,ABAT,American Battery Technology Company,105.80M,-0.49%,158392,-
214,ACNT,Ascent Industries Co.,104.60M,0.93%,465,280.79M
