,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
248,WSFS,WSFS Financial Corporation,2.63B,0.18%,20418,926.90M
249,AUB,Atlantic Union Bankshares Corporation,2.63B,-0.58%,23430,670.27M
250,INTR,"Inter & Co, Inc.",2.62B,1.24%,303645,975.89M
251,VCTR,"Victory Capital Holdings, Inc.",2.55B,-0.68%,52885,821.03M
252,FULT,Fulton Financial Corporation,2.52B,-0.10%,213233,1.03B
253,CBU,"Community Bank System, Inc.",2.52B,0.76%,45380,640.92M
254,QFIN,Qifu Technology Inc.,2.51B,0.58%,325009,2.16B
255,BOH,Bank of Hawaii Corporation,2.49B,0.29%,45401,664.63M
256,SFNC,Simmons First National Corporation,2.47B,-0.30%,39121,763.66M
257,NYCB,"New York Community Bancorp, Inc.",2.47B,-4.53%,14690645,5.07B
258,CVBF,CVB Financial Corp.,2.47B,0.45%,95472,545.32M
259,NMIH,"NMI Holdings, Inc.",2.37B,2.29%,51771,579.00M
260,UPST,"Upstart Holdings, Inc.",2.36B,-1.68%,1695621,513.56M
261,EBC,"Eastern Bankshares, Inc.",2.34B,2.38%,257989,292.60M
262,BANC,"Banc of California, Inc.",2.34B,0.91%,758464,246.84M
263,PUYI,Puyi Inc.,2.32B,1.60%,4204,15.81M
264,WAFD,WaFd Inc,2.30B,0.32%,31886,673.02M
265,PPBI,"Pacific Premier Bancorp, Inc.",2.27B,-0.38%,65273,440.99M
266,PAX,Patria Investments Limited,2.20B,-0.07%,39302,307.16M
267,INDB,Independent Bank Corp.,2.20B,1.25%,38401,707.88M
268,PSEC,Prospect Capital Corporation,2.17B,-,559707,883.81M
269,PRK,Park National Corporation,2.16B,-1.21%,4057,462.84M
270,SNEX,StoneX Group Inc.,2.16B,-1.49%,13629,67.42B
271,SBCF,Seacoast Banking Corporation of Florida,2.13B,-0.50%,24336,529.87M
272,FFBC,First Financial Bancorp.,2.10B,-0.27%,31120,797.09M
273,SPNT,SiriusPoint Ltd.,2.07B,-0.25%,40188,2.74B
274,TOWN,TowneBank,2.06B,-1.00%,13473,770.52M
275,HTH,Hilltop Holdings Inc.,2.06B,-0.28%,15279,1.18B
276,FRME,First Merchants Corporation,2.06B,-0.89%,40390,647.50M
277,BKU,"BankUnited, Inc.",2.05B,0.91%,71343,873.04M
278,AGM.A,Federal Agricultural Mortgage Corporation,1.96B,-,16,350.20M
279,AGM,Federal Agricultural Mortgage Corporation,1.96B,0.35%,6765,350.20M
280,TBBK,"The Bancorp, Inc.",1.94B,1.37%,117920,447.82M
281,TSLX,"Sixth Street Specialty Lending, Inc.",1.93B,0.66%,100661,438.09M
282,MBIN,Merchants Bancorp,1.93B,-1.09%,4852,482.46M
283,BFH,"Bread Financial Holdings, Inc.",1.92B,-3.21%,109938,3.06B
284,BRP,"BRP Group, Inc.",1.90B,-1.81%,52295,1.22B
285,IBTX,"Independent Bank Group, Inc.",1.88B,-0.07%,29833,503.86M
286,NAVI,Navient Corporation,1.85B,0.30%,75685,1.15B
287,PLMR,"Palomar Holdings, Inc.",1.85B,-1.19%,12372,375.93M
288,DFIN,"Donnelley Financial Solutions, Inc.",1.84B,-0.44%,12937,797.20M
289,BBAR,BBVA Argentina,1.81B,-3.93%,274619,976.05M
290,LOB,"Live Oak Bancshares, Inc.",1.81B,-0.85%,12131,405.72M
291,ENVA,"Enova International, Inc.",1.79B,-1.50%,21421,1.23B
292,VRTS,"Virtus Investment Partners, Inc.",1.78B,-1.50%,12676,845.27M
293,RNST,Renasant Corporation,1.77B,-0.54%,14225,616.81M
294,NWLI,"National Western Life Group, Inc.",1.77B,0.12%,510,703.35M
295,OFG,OFG Bancorp,1.76B,-3.71%,51542,628.61M
296,WSBC,"WesBanco, Inc.",1.75B,0.88%,41360,584.05M
297,TFIN,"Triumph Financial, Inc.",1.75B,-0.91%,26203,406.05M
298,CLBK,"Columbia Financial, Inc.",1.73B,0.97%,7616,228.47M
299,LKFN,Lakeland Financial Corporation,1.73B,-1.55%,49615,241.04M
300,CUBI,"Customers Bancorp, Inc.",1.72B,-1.37%,36514,683.40M
301,FBK,FB Financial Corporation,1.72B,-0.16%,5485,475.22M
302,GSBD,"Goldman Sachs BDC, Inc.",1.70B,-0.10%,87512,454.91M
303,BBUC,Brookfield Business Corporation,1.68B,-1.72%,1259,7.68B
304,STC,Stewart Information Services Corporation,1.68B,-0.54%,60598,2.21B
305,NBTB,NBT Bancorp Inc.,1.65B,0.68%,14426,495.12M
306,TRMK,Trustmark Corporation,1.65B,-0.37%,16907,735.26M
307,GCMG,GCM Grosvenor Inc,1.62B,1.04%,41834,445.00M
308,BANR,Banner Corporation,1.60B,0.19%,13300,609.63M
309,OCSL,Oaktree Specialty Lending Corporation,1.56B,0.76%,157102,398.09M
310,CHCO,City Holding Company,1.55B,-0.73%,5362,286.63M
311,EFSC,Enterprise Financial Services Corp,1.50B,-0.22%,9111,594.71M
312,FIHL,Fidelis Insurance Holdings Limited,1.50B,0.90%,62281,3.60B
313,HTLF,"Heartland Financial USA, Inc.",1.49B,-1.20%,27882,558.60M
314,DWAC,Digital World Acquisition Corp.,1.49B,-1.23%,292585,-
315,NWBI,"Northwest Bancshares, Inc.",1.48B,-1.12%,134881,526.63M
316,FBNC,First Bancorp,1.45B,-0.28%,11897,386.34M
317,HMN,Horace Mann Educators Corporation,1.44B,-0.57%,17855,1.49B
318,SKWD,"Skyward Specialty Insurance Group, Inc.",1.42B,-0.14%,26323,827.04M
319,NTB,The Bank of N.T. Butterfield & Son Limited,1.41B,-0.63%,27419,578.60M
320,FINV,FinVolution Group,1.40B,1.30%,134892,1.70B
