,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
204,AMPY,Amplify Energy Corp.,203.27M,9.81%,1364746,79.21B
205,EPM,Evolution Petroleum Corporation,197.39M,-2.02%,57979,96.67M
206,PNRG,PrimeEnergy Resources Corporation,187.54M,0.08%,44,111.14M
207,GTE,Gran Tierra Energy Inc.,185.02M,1.40%,46674,636.96M
208,GEOS,Geospace Technologies Corporation,160.87M,-1.90%,32789,143.43M
209,KGEI,Kolibri Global Energy Inc.,136.80M,2.13%,2162,-
210,AMTX,"Aemetis, Inc.",132.74M,-1.49%,106621,182.69M
211,EP,Empire Petroleum Corporation,132.32M,2.04%,4903,37.42M
212,KLXE,"KLX Energy Services Holdings, Inc.",121.94M,-1.35%,90269,888.40M
213,VTNR,"Vertex Energy, Inc.",120.63M,-1.16%,432404,3.18B
214,PHX,PHX Minerals Inc.,112.48M,-,12395,50.95M
215,EPSN,Epsilon Energy Ltd.,110.58M,-0.80%,5282,37.38M
216,DLNG,Dynagas LNG Partners LP,106.36M,-0.55%,5929,158.59M
217,VOC,VOC Energy Trust,104.21M,-0.33%,40345,19.14M
218,MMLP,Martin Midstream Partners L.P.,101.01M,-,3878,797.96M
219,CRT,Cross Timbers Royalty Trust,99.60M,0.39%,20024,12.71M
220,BATL,Battalion Oil Corporation,96.27M,1.21%,410,250.32M
221,DTI,Drilling Tools International Corp.,89.90M,1.00%,1855,-
222,FTK,"Flotek Industries, Inc.",82.76M,-2.87%,51762,194.09M
223,SND,"Smart Sand, Inc.",81.62M,-0.76%,42252,307.86M
224,NINE,"Nine Energy Service, Inc.",78.42M,-,183687,609.53M
225,IMPP,Imperial Petroleum Inc.,77.87M,0.32%,48742,183.73M
226,SLNG,"Stabilis Solutions, Inc.",75.27M,-2.15%,3996,73.11M
227,AE,"Adams Resources & Energy, Inc.",67.61M,-1.54%,737,2.78B
228,PFIE,"Profire Energy, Inc.",65.67M,1.45%,42801,57.80M
229,PED,PEDEVCO Corp.,60.52M,0.01%,7872,29.97M
230,PRT,PermRock Royalty Trust,53.77M,-0.45%,6543,9.03M
231,NRT,North European Oil Royalty Trust,48.62M,1.13%,12750,12.68M
232,BPT,BP Prudhoe Bay Royalty Trust,45.37M,0.94%,42587,22.11M
233,PVL,Permianville Royalty Trust,45.21M,-0.73%,21525,15.17M
234,DWSN,Dawson Geophysical Company,44.68M,2.07%,463,87.25M
235,NCSM,"NCS Multistage Holdings, Inc.",38.54M,1.81%,1722,142.47M
236,SDPI,"Superior Drilling Products, Inc.",27.16M,1.84%,55557,21.95M
237,BANL,CBL International Limited,26.50M,-2.80%,3066,419.17M
238,CKX,"CKX Lands, Inc.",26.06M,-0.75%,71,1.08M
239,USEG,U.S. Energy Corp.,25.51M,-,6091,35.37M
240,ICD,"Independence Contract Drilling, Inc.",24.88M,-0.31%,3002,210.11M
241,VIVK,"Vivakor, Inc.",23.86M,-3.12%,13390,61.79M
242,BRN,"Barnwell Industries, Inc.",22.86M,1.75%,4858,23.91M
243,CEI,"Camber Energy, Inc.",21.72M,-,844744,10.35M
244,RCON,"Recon Technology, Ltd.",21.61M,-1.58%,192546,9.27M
245,INDO,Indonesia Energy Corporation Limited,21.60M,2.35%,12825,3.61M
246,MXC,Mexco Energy Corporation,20.68M,-4.56%,614,7.01M
247,MTR,Mesa Royalty Trust,18.67M,1.70%,5681,4.13M
248,HUSA,Houston American Energy Corp.,13.85M,-,8953,872.18K
249,MARPS,Marine Petroleum Trust,7.90M,0.18%,727,1.18M
250,ENSV,Enservco Corporation,5.23M,0.21%,145108,22.08M
251,TPET,Trio Petroleum Corp.,3.81M,-2.68%,1665823,-
